Time [ms],Date,Time,Rel.Time [s],Infinity|RESP.RR [BREATHS_PER_MIN],Infinity|ECG.PVC_RATE [BEATS_PER_MIN],Infinity|ECG.ST_LEAD_DERIVED_V5 [MM],Infinity|ECG.ST_LEAD_DERIVED_V2 [MM],Infinity|ECG.HR [BEATS_PER_MIN],Infinity|ECG.PP [PERCENT],Infinity|ECG.ARR [BEATS_PER_MIN],Infinity|NIBP.SYSTOLIC [MMHG],Infinity|NIBP.MEAN [MMHG],Infinity|NIBP.DIASTOLIC [MMHG],Infinity|SPO2.Pr [BEATS_PER_MIN],Infinity|SPO2.SATURATION [PERCENT]
1642287181561,2022-01-15,23:53:01.561,29,42.0000,1.0000,0.1000,0.1000,158.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287182529,2022-01-15,23:53:02.529,30,42.0000,1.0000,0.1000,0.1000,153.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287183545,2022-01-15,23:53:03.545,31,40.0000,1.0000,0.1000,0.1000,153.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287184560,2022-01-15,23:53:04.560,32,40.0000,1.0000,0.1000,0.1000,154.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287185544,2022-01-15,23:53:05.544,33,42.0000,1.0000,0.1000,0.1000,154.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287186544,2022-01-15,23:53:06.544,34,44.0000,1.0000,0.1000,0.1000,161.0000,1.0000,,,,,,
1642287186559,2022-01-15,23:53:06.559,34,,,,,,,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287187559,2022-01-15,23:53:07.559,35,50.0000,1.0000,0.1000,0.1000,161.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287188543,2022-01-15,23:53:08.543,36,59.0000,1.0000,0.1000,0.1000,162.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287189543,2022-01-15,23:53:09.543,37,81.0000,1.0000,0.1000,0.1000,162.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
